State,City,College,Allocation_Subcategory,Gift_Allocation,Major,Gift_Amount
UT,Salt Lake City,College of Business,Parents Association,Campus Resource,Finance,9739
PA,Philadelphia,College of Natural Science,College of Social Science,Scholarship,Predental,6148
PA,Philadelphia,College of Natural Science,College of Agriculture and Natural Resources,Scholarship,Predental,2873
TX,El Paso,College of Natural Science,College of Natural Science,Scholarship,Physical Science Interdepartmental,7315
TX,El Paso,College of Natural Science,University Libraries,Campus Resource,Physical Science Interdepartmental,8257
AZ,Phoenix,College of Arts and Sciences,College of Arts and Sciences,Scholarship,Arts & Letters-General,4217
AZ,Phoenix,College of Arts and Sciences,Faculty Chair Endowments,Endowment,Arts & Letters-General,3071
NY,New York,College of Business,University Annual Fund,Endowment,Supply Chain Management,4745
NY,New York,College of Business,Campus Museums,Campus Resource,Supply Chain Management,5288
OH,Cleveland,College of Business,College of Arts and Sciences,Scholarship,General Management,1001
OH,Cleveland,College of Business,University Annual Fund,Endowment,General Management,6146
NE,Lincoln,College of Engineering,University Annual Fund,Endowment,Materials Science and Engineering,8078
NE,Lincoln,College of Engineering,Athletics,Campus Resource,Materials Science and Engineering,6371
CA,San Diego,College of Veterinary Medicine,Faculty Chair Endowments,Endowment,Preveterinary,3496
CA,San Diego,College of Veterinary Medicine,Diversity Fund,Endowment,Preveterinary,6451
OK,Oklahoma City,College of Natural Science,Minority Scholarship Fund,Scholarship,Actuarial Science,8960
OK,Oklahoma City,College of Natural Science,College of Social Science,Scholarship,Actuarial Science,6301
IL,Chicago,College of Nursing,Diversity Fund,Endowment,Prenursing,1858
IL,Chicago,College of Nursing,In-State Scholarship Fund,Scholarship,Prenursing,5634
GA,Savannah,College of Veterinary Medicine,College of Arts and Sciences,Scholarship,Preveterinary,7219
GA,Savannah,College of Veterinary Medicine,College of Arts and Sciences,Scholarship,Preveterinary,7575
NY,New York,College of Agriculture and Natural Resources,College of Arts and Sciences,Scholarship,Construction Management,9640
NY,New York,College of Agriculture and Natural Resources,Minority Scholarship Fund,Scholarship,Construction Management,2015
MN,Minneapolis,College of Social Science,Faculty Chair Endowments,Endowment,Political Science,9532
MN,Minneapolis,College of Social Science,Trustees Fund,Endowment,Political Science,2587
CO,Denver,College of Education,University Annual Fund,Endowment,Kinesiology,7663.5
CO,Denver,College of Education,Campus Museums,Campus Resource,Kinesiology,10689
TN,Murfreesboro,College of Arts and Sciences,Campus Museums,Campus Resource,Japanese,7242
TN,Murfreesboro,College of Arts and Sciences,College of Agriculture and Natural Resources,Scholarship,Japanese,8199
FL,Miami,College of Agriculture and Natural Resources,College of Engineering,Scholarship,Construction Management,1864
FL,Miami,College of Agriculture and Natural Resources,Trustees Fund,Endowment,Construction Management,8561
MI,Lansing,College of Social Science,Diversity Fund,Endowment,History Education,999
MI,Lansing,College of Social Science,College of Arts and Sciences,Scholarship,History Education,313
CO,Denver,College of Education,University Annual Fund,Endowment,Athletic Training,13920
CO,Denver,College of Education,College of Education,Scholarship,Athletic Training,6357
CA,Los Angeles,College of Social Science,College of Agriculture and Natural Resources,Scholarship,Political Science-Prelaw,8898
CA,Los Angeles,College of Social Science,College of Political Science,Scholarship,Political Science-Prelaw,4821
NY,New York,College of Natural Science,Trustees Fund,Endowment,Chemistry,2639
NY,New York,College of Natural Science,University Annual Fund,Endowment,Chemistry,8906
NE,Lincoln,College of Social Science,University Libraries,Campus Resource,Human Development and Family Studies,3885
NE,Lincoln,College of Social Science,In-State Scholarship Fund,Scholarship,Human Development and Family Studies,267
UT,Salt Lake City,College of Natural Science,College of Social Science,Scholarship,Mathematics,9864
UT,Salt Lake City,College of Natural Science,College of Agriculture and Natural Resources,Scholarship,Mathematics,7019
WI,Madison,College of Music,University Annual Fund,Endowment,Composition,9434
DC,Washington,College of Natural Science,College of Agriculture and Natural Resources,Scholarship,Geological Sciences,9314
IL,Chicago,College of Agriculture and Natural Resources,College of Natural Science,Scholarship,Environmental Economics and Policy,1553
CO,Denver,College of Engineering,University Annual Fund,Endowment,Applied Engineering Sciences,11659.5
KY,Lexington,College of Business,Parents Association,Campus Resource,Accounting,2639
IN,Indianapolis,College of Arts and Sciences,Faculty Chair Endowments,Endowment,Russian,3263
LA,New Orleans,College of Business,Athletics,Campus Resource,Human Resource Management,3670
IA,Cedar Rapids,College of Natural Science,University Annual Fund,Endowment,Earth Science Interdepartmental,6171
KY,Lexington,College of Arts and Sciences,Honors Program,Campus Resource,Japanese,6656
CO,Denver,College of Social Science,College of Natural Science,Scholarship,World Politics,13669.5
FL,Miami,College of Business,College of Natural Science,Scholarship,Accounting,7843
TN,Memphis,College of Engineering,College of Natural Science,Scholarship,Applied Engineering Sciences,9395
NC,Durham,College of Business,College of Natural Science,Scholarship,Human Resource Management,3135
AL,Mobile,College of Engineering,College of Natural Science,Scholarship,Materials Science and Engineering,3478
AL,Mobile,College of Engineering,Trustees Fund,Endowment,Materials Science and Engineering,2524
NE,Lincoln,College of Natural Science,Honors Program,Campus Resource,Physical Science Interdepartmental,2731
NE,Lincoln,College of Natural Science,Campus Recreation,Campus Resource,Physical Science Interdepartmental,6377
UT,Salt Lake City,College of Arts and Sciences,Diversity Fund,Endowment,Arabic,4988
UT,Salt Lake City,College of Arts and Sciences,Trustees Fund,Endowment,Arabic,6384
OH,Cincinnati,College of Music,Alumni Association,Campus Resource,Composition,9804
OH,Cincinnati,College of Music,University Libraries,Campus Resource,Composition,7903
AZ,Phoenix,College of Engineering,University Annual Fund,Endowment,Materials Science and Engineering,2963
AZ,Phoenix,College of Engineering,College of Agriculture and Natural Resources,Scholarship,Materials Science and Engineering,7597
FL,Tallahassee,College of Arts and Sciences,In-State Scholarship Fund,Scholarship,Art History and Visual Culture,3724
FL,Tallahassee,College of Arts and Sciences,Diversity Fund,Endowment,Art History and Visual Culture,3392
FL,Tallahassee,College of Arts and Sciences,University Annual Fund,Endowment,Art History and Visual Culture,8987
TX,Houston,College of Arts and Sciences,Alumni Association,Campus Resource,Women's and Gender Studies,5687
TX,Houston,College of Arts and Sciences,College of Agriculture and Natural Resources,Scholarship,Women's and Gender Studies,3793
TX,Houston,College of Arts and Sciences,Diversity Fund,Endowment,Women's and Gender Studies,8642
NC,Raleigh,College of Arts and Sciences,College of Agriculture and Natural Resources,Scholarship,Apparel and Textiles,8010
NC,Raleigh,College of Arts and Sciences,College of Agriculture and Natural Resources,Scholarship,Apparel and Textiles,2952
NC,Raleigh,College of Arts and Sciences,Faculty Chair Endowments,Endowment,Apparel and Textiles,584
CA,Los Angeles,College of Business,Diversity Fund,Endowment,Marketing,4958
CA,Los Angeles,College of Business,Campus Museums,Campus Resource,Marketing,2872
CA,Los Angeles,College of Business,Athletics,Campus Resource,Marketing,5057
SC,Columbia,College of Social Science,College of Arts and Sciences,Scholarship,Criminal Justice,5955
SC,Columbia,College of Social Science,Faculty Chair Endowments,Endowment,Criminal Justice,2022
SC,Columbia,College of Social Science,College of Arts and Sciences,Scholarship,Criminal Justice,3057
CO,Denver,College of Arts and Sciences,Minority Scholarship Fund,Scholarship,Arabic,3633
CO,Denver,College of Arts and Sciences,In-State Scholarship Fund,Scholarship,Arabic,259.5
CO,Denver,College of Arts and Sciences,Campus Museums,Campus Resource,Arabic,10794
AZ,Tucson,College of Social Science,Alumni Association,Campus Resource,Political Science,7196
AZ,Tucson,College of Social Science,College of Arts and Sciences,Scholarship,Political Science,681
AZ,Tucson,College of Social Science,College of Arts and Sciences,Scholarship,Political Science,8166
NY,Syracuse,College of Agriculture and Natural Resources,Athletics,Campus Resource,Food Science,1920
NY,Syracuse,College of Agriculture and Natural Resources,Faculty Chair Endowments,Endowment,Food Science,6862
NY,Syracuse,College of Agriculture and Natural Resources,College of Social Science,Scholarship,Food Science,5840
CO,Denver,College of Arts and Sciences,College of Arts and Sciences,Scholarship,Spanish,13507.5
CO,Denver,College of Arts and Sciences,Honors Program,Campus Resource,Spanish,1176
CO,Denver,College of Arts and Sciences,Parents Association,Campus Resource,Spanish,10284
GA,Atlanta,College of Agriculture and Natural Resources,Trustees Fund,Endowment,Agribusiness Management,2048
GA,Atlanta,College of Agriculture and Natural Resources,University Annual Fund,Endowment,Agribusiness Management,5619
GA,Atlanta,College of Agriculture and Natural Resources,Parents Association,Campus Resource,Agribusiness Management,3281
CA,Los Angeles,College of Natural Science,Honors Program,Campus Resource,Genomics & Molecular Genetics,9578
CA,Los Angeles,College of Natural Science,College of Social Science,Scholarship,Genomics & Molecular Genetics,5686
CA,Los Angeles,College of Natural Science,College of Social Science,Scholarship,Genomics & Molecular Genetics,6195
WA,Seattle,College of Music,Trustees Fund,Endowment,Music,508
WA,Seattle,College of Music,Parents Association,Campus Resource,Music,373
WA,Seattle,College of Music,College of Natural Science,Scholarship,Music,3870
KS,Overland Park,College of Social Science,Faculty Chair Endowments,Endowment,Social Work,3254
KS,Overland Park,College of Social Science,Faculty Chair Endowments,Endowment,Social Work,7285
KS,Overland Park,College of Social Science,Campus Museums,Campus Resource,Social Work,6980
KS,Wichita,College of Natural Science,Alumni Association,Campus Resource,Preoptometry,4649
KS,Wichita,College of Natural Science,College of Agriculture and Natural Resources,Scholarship,Preoptometry,2209
KS,Wichita,College of Natural Science,Campus Museums,Campus Resource,Preoptometry,7047
CA,San Francisco,College of Business,Campus Recreation,Campus Resource,Finance,612
CA,San Francisco,College of Business,Minority Scholarship Fund,Scholarship,Finance,8877
CA,San Francisco,College of Business,In-State Scholarship Fund,Scholarship,Finance,3818
CT,Hartford,College of Agriculture and Natural Resources,College of Agriculture and Natural Resources,Scholarship,Entomology,989
CT,Hartford,College of Agriculture and Natural Resources,University Annual Fund,Endowment,Entomology,6757
CT,Hartford,College of Agriculture and Natural Resources,College of Social Science,Scholarship,Entomology,9585
NC,Charlotte,College of Music,College of Social Science,Scholarship,Composition,9294
NC,Charlotte,College of Music,University Annual Fund,Endowment,Composition,2585
NC,Charlotte,College of Music,College of Social Science,Scholarship,Composition,5874
OK,Oklahoma City,College of Political Science,Campus Museums,Campus Resource,Political Theory and Constitutional Democracy,4784
OK,Oklahoma City,College of Political Science,College of Social Science,Scholarship,Political Theory and Constitutional Democracy,888
OK,Oklahoma City,College of Political Science,Trustees Fund,Endowment,Political Theory and Constitutional Democracy,3045
